StatBezirkNr;Statistischer Bezirk;Fläche in ha
1;Altstadtviertel;45,6
2;Rathausviertel;101,9
3;Kaplanhofviertel;87,9
4;Neustadtviertel;66,5
5;Volksgartenviertel;107,6
6;Römerberg-Margarethen;159,6
7;Freinberg;86,0
8;Froschberg;175,2
9;Keferfeld;143,6
10;Bindermichl;100,9
11;Spallerhof;63,5
12;Wankmüllerhofviertel;63,8
13;Andreas-Hofer-Platz-Viertel;124,3
14;Makartviertel;173,3
15;Franckviertel;151,0
16;Hafenviertel;552,5
17;St.Peter;913,5
18;Neue Welt;107,5
19;Scharlinz;211,9
20;Bergern;165,2
21;Neue Heimat;96,7
22;Wegscheid;128,0
23;Schörgenhub;441,8
24;Kleinmünchen;133,0
25;Ebelsberg;2581,3
26;Alt-Urfahr;90,8
27;Heilham;153,0
28;Hartmayrsiedlung;109,2
29;Harbachsiedlung;61,9
30;Karlhofsiedlung;46,8
31;Auberg;128,9
32;Pöstlingberg;282,1
33;Bachl-Gründberg;517,7
34;St. Magdalena;169,1
35;Katzbach;393,
36;Elmberg;669,6
